location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,nearest_grid_mw,grid_dist_km,tier,tier_label,target_name,demand_level,priority,priority_action,estimated_demand_kw,data_quality,daily_sessions_p80,daily_sessions_avg,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,is_tent,afir_gap_threshold_km,utilization_pct
IBE_071,36.756764,-2.916535,A-7,7,Congested,Endesa,0.0,7.4,2,Partner Co-location,Cabasc,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_072,36.892956,-2.444307,A-7,7,Congested,Endesa,0.0,2.6,2,Partner Co-location,Moeve,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_073,37.046456,-2.039503,A-7,7,Congested,Endesa,0.0,11.5,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,426000,True,60,53.8
IBE_074,37.384743,-1.958327,A-7,7,Congested,Endesa,0.0,1.6,2,Partner Co-location,Estación de Servicio García,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_075,37.698289,-1.648871,A-7,7,Sufficient,i-DE,17.81,6.7,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,1050,measured,212,179,79.8,2,4,7,241000,True,60,53.8
IBE_076,37.912758,-1.310194,A-7,7,Sufficient,i-DE,22.23,21.5,2,Partner Co-location,,High,1,Deploy full hub (12 chargers). Top priority.,1050,measured,212,179,79.8,2,4,7,241000,True,60,53.8
IBE_077,38.270023,-1.323756,A-7,7,Sufficient,i-DE,4.44,40.3,2,Partner Co-location,Moeve,High,1,Deploy full hub (12 chargers). Top priority.,1050,measured,212,179,79.8,2,4,7,241000,True,60,53.8
IBE_078,38.619671,-1.040901,A-7,7,Sufficient,i-DE,19.85,3.8,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,1050,measured,212,179,79.8,2,4,7,241000,True,60,53.8
IBE_079,38.908475,-0.696739,A-7,7,Sufficient,i-DE,7.78,0.3,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,1050,measured,212,179,79.8,2,4,7,241000,True,60,53.8
IBE_080,39.278914,-0.459898,A-7,7,Sufficient,i-DE,5.1,3.9,2,Partner Co-location,Font de Mussa,High,1,Deploy full hub (12 chargers). Top priority.,1050,measured,212,179,79.8,2,4,7,241000,True,60,53.8
IBE_081,39.496145,-0.531308,A-7,7,Congested,Viesgo,0.03,4.1,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,measured,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_082,39.807626,-0.159689,A-7,7,Congested,Viesgo,0.111,14.7,2,Partner Co-location,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,measured,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_083,40.121522,0.133257,A-7,7,Congested,Viesgo,0.111,57.0,2,Partner Co-location,Eni,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,measured,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_084,40.481878,0.417929,A-7,7,Congested,Endesa,0.0,12.1,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_085,40.831908,0.738689,A-7,7,Congested,Endesa,0.0,6.7,2,Partner Co-location,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_086,41.119958,1.146152,A-7,7,Congested,Endesa,0.0,1.5,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_087,43.334773,-3.315166,A-8,4,Congested,Viesgo,0.044,8.3,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_088,43.415169,-3.57692,A-8,4,Congested,Viesgo,0.118,2.5,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
IBE_089,43.405344,-3.823092,A-8,4,Congested,Viesgo,0.139,0.7,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,600,measured,121,103,79.7,2,3,4,277000,True,60,53.7
