bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_228,41.46955,0.88605,N-2,Endesa,1050,Congested
FRIC_229,41.29305,1.35911,N-2,Endesa,1050,Congested
FRIC_230,41.44266,1.8506,N-2,Endesa,1050,Congested
FRIC_231,40.64509,-1.316,N-211,Endesa,2100,Congested
FRIC_232,42.46767,0.02039,N-230,Endesa,1650,Congested
FRIC_233,42.46302,0.41698,N-230,Endesa,1650,Congested
FRIC_234,40.602428,-0.051982,N-232,Endesa,1350,Congested
FRIC_235,40.862724,-0.143402,N-232,Endesa,1350,Congested
FRIC_236,41.062595,-0.474484,N-232,Endesa,1350,Congested
FRIC_237,41.383626,-0.464468,N-232,Endesa,1350,Congested
FRIC_238,41.543323,-0.692195,N-232,Endesa,1350,Congested
FRIC_239,41.805305,-1.140978,N-232,Endesa,1350,Congested
FRIC_240,41.975522,-3.295969,N-234,Endesa,900,Congested
FRIC_241,41.807463,-2.835299,N-234,Endesa,900,Congested
FRIC_242,41.724827,-2.299398,N-234,Endesa,900,Congested
FRIC_243,41.490668,-1.801664,N-234,Endesa,900,Congested
FRIC_244,40.93995,-1.296002,N-234,Endesa,900,Congested
FRIC_245,40.515353,-1.253882,N-234,Endesa,900,Congested
FRIC_246,40.189598,-0.905007,N-234,Endesa,900,Congested
FRIC_247,42.56553,-0.73675,N-240,Endesa,2850,Congested
FRIC_248,42.62548,-1.02775,N-240,Endesa,2850,Congested
FRIC_249,42.73234,-1.56725,N-240,i-DE,900,Moderate
FRIC_250,42.241743,2.905339,N-260,Endesa,750,Congested
FRIC_251,42.263162,2.395372,N-260,Endesa,750,Congested
FRIC_252,42.187591,2.075393,N-260,Endesa,750,Congested
FRIC_253,42.142379,1.865097,N-260,Endesa,750,Congested
FRIC_254,42.365721,1.679235,N-260,Endesa,750,Congested
FRIC_255,42.448867,1.482952,N-260,Endesa,750,Congested
FRIC_256,42.37556,1.192913,N-260,Endesa,750,Congested
FRIC_257,42.389022,0.748552,N-260,Endesa,750,Congested
FRIC_258,42.41302,0.262482,N-260,Endesa,750,Congested
FRIC_259,40.0351,-3.92444,N-3,Viesgo,450,Congested
FRIC_260,39.79095,-3.95318,N-3,Endesa,450,Congested
FRIC_261,39.47615,-3.59479,N-3,Endesa,450,Congested
FRIC_262,39.40011,-3.30024,N-3,Endesa,450,Congested
FRIC_263,39.29635,-2.37925,N-3,Endesa,450,Congested
FRIC_264,39.13891,-2.04112,N-3,Endesa,450,Congested
FRIC_265,40.01772,-3.63605,N-301,Viesgo,750,Congested
FRIC_266,39.65543,-3.44509,N-301,Endesa,750,Congested
FRIC_267,39.37125,-3.23006,N-301,Endesa,750,Congested
FRIC_268,39.04,-2.26037,N-301,Endesa,750,Congested
FRIC_269,38.52432,-3.57348,N-310,Endesa,2100,Congested
FRIC_270,38.2699,-3.22651,N-322,Endesa,1050,Congested
FRIC_271,38.32492,-2.88916,N-322,Endesa,1050,Congested
FRIC_272,38.61616,-2.55417,N-322,Endesa,1050,Congested
FRIC_273,38.58891,-2.53697,N-322,Endesa,1050,Congested
FRIC_274,38.82894,-2.25335,N-322,Endesa,1050,Congested
FRIC_275,40.753438,-1.332909,N-330,Endesa,450,Congested
FRIC_276,40.369781,-1.119364,N-330,Endesa,450,Congested
FRIC_277,40.032933,-1.298662,N-330,Endesa,450,Congested
FRIC_278,39.568568,-1.192115,N-330,Viesgo,450,Congested
FRIC_279,40.243105,-1.172779,N-330,Endesa,450,Congested
FRIC_280,40.602964,-1.285877,N-330,Endesa,450,Congested
FRIC_281,41.018706,-1.267919,N-330,Endesa,450,Congested
FRIC_282,41.417744,-1.153885,N-330,Endesa,450,Congested
FRIC_283,41.765401,-0.835638,N-330,Endesa,450,Congested
FRIC_284,42.094168,-0.475627,N-330,Endesa,450,Congested
FRIC_285,42.487095,-0.372794,N-330,Endesa,450,Congested
FRIC_286,42.804347,-0.556505,N-330,Endesa,450,Congested
FRIC_287,42.513693,-0.343622,N-330,Endesa,450,Congested
FRIC_288,42.142642,-0.430889,N-330,Endesa,450,Congested
FRIC_289,42.350973,-0.397352,N-330,Endesa,450,Congested
FRIC_290,37.91523,-4.3781,N-331,Endesa,750,Congested
FRIC_291,37.68133,-4.45803,N-331,Endesa,750,Congested
FRIC_292,37.54297,-4.0138,N-331,Endesa,750,Congested
FRIC_293,37.22698,-3.7356,N-331,Endesa,750,Congested
FRIC_294,36.175037,-5.454093,N-340,Endesa,1200,Congested
FRIC_295,36.459318,-5.118071,N-340,Endesa,1200,Congested
FRIC_296,36.559755,-4.656179,N-340,Endesa,1200,Congested
FRIC_297,36.724839,-4.251855,N-340,Endesa,1200,Congested
FRIC_298,36.752635,-3.734842,N-340,Endesa,1200,Congested
FRIC_299,36.750716,-3.305523,N-340,Endesa,1200,Congested
FRIC_300,36.768021,-2.783737,N-340,Endesa,1200,Congested
FRIC_301,36.873813,-2.337634,N-340,Endesa,1200,Congested
FRIC_302,38.88091,-0.04684,N-340,i-DE,1200,Moderate
FRIC_303,39.8972,-0.087355,N-340,Viesgo,1200,Congested
FRIC_304,40.46902,0.440593,N-340,Endesa,1200,Congested
FRIC_305,40.725321,0.669045,N-340,Endesa,1200,Congested
FRIC_306,41.024832,0.931476,N-340,Endesa,1200,Congested
FRIC_307,41.177478,1.42858,N-340,Endesa,1200,Congested
FRIC_308,41.264055,1.93346,N-340,Endesa,1200,Congested
FRIC_309,37.58419,-4.12004,N-344,Endesa,1650,Congested
FRIC_310,37.30068,-3.81554,N-344,Endesa,1650,Congested
FRIC_311,39.78913,-3.941,N-4,Endesa,450,Congested
FRIC_312,39.03722,-3.93128,N-4,Naturgy,450,Moderate
FRIC_313,38.69399,-4.1095,N-4,Naturgy,450,Moderate
FRIC_314,38.67057,-4.29858,N-4,Endesa,450,Congested
FRIC_315,38.27245,-4.31897,N-4,Endesa,450,Congested
FRIC_316,37.94879,-4.54178,N-4,Endesa,450,Congested
FRIC_317,37.76867,-4.81831,N-4,Endesa,450,Congested
FRIC_318,37.52428,-5.24075,N-4,Endesa,450,Congested
FRIC_319,37.4494,-5.77242,N-4,Endesa,450,Congested
FRIC_320,37.18112,-5.91068,N-4,Endesa,450,Congested
FRIC_321,36.76501,-6.0421,N-4,Endesa,450,Congested
FRIC_322,39.39956,-3.31705,N-400,Endesa,1350,Congested
FRIC_323,39.49814,-2.83102,N-400,Endesa,1350,Congested
FRIC_324,39.05488,-3.93179,N-401,Naturgy,600,Moderate
FRIC_325,39.91016,-4.08021,N-403,Viesgo,750,Congested
FRIC_326,40.01351,-4.59471,N-403,i-DE,750,Moderate
FRIC_327,39.77255,-4.92859,N-403,i-DE,750,Moderate
FRIC_328,39.4485,-5.02274,N-403,Endesa,750,Congested
