location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,data_quality,daily_sessions_p80,daily_sessions_avg,utilization_pct,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,fin_revenue_yr,fin_ebitda_yr,fin_ebitda_margin,fin_net_capex,fin_payback_yrs,fin_npv_10yr,is_tent
IBE_278,43.28598,-2.031,AP-8,8,Sufficient,measured,259,218,57.5,85.3,2,5,8,269000,426787,154296,36.2,188300,1.2,895411,False
IBE_279,43.027581,-8.401568,AP-9,6,Congested,measured,196,174,58.0,86.0,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_280,42.684935,-8.547156,AP-9,6,Sufficient,measured,196,174,58.0,86.0,2,4,6,213000,320090,112812,35.2,149100,1.3,643244,False
IBE_281,42.362952,-8.640623,AP-9,6,Moderate,measured,196,174,58.0,86.0,2,4,6,213000,320090,112812,35.2,149100,1.3,643244,False
IBE_282,41.653591,1.425547,C-25,9,Congested,unknown,280,234,55.2,81.9,2,5,9,417000,480136,175038,36.5,291900,1.7,937494,False
IBE_283,41.75444,1.88475,C-25,9,Congested,unknown,280,234,55.2,81.9,2,5,9,417000,480136,175038,36.5,291900,1.7,937494,False
IBE_284,40.74063,-3.41568,N-1,4,Sufficient,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_285,40.98389,-3.63964,N-1,4,Moderate,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_286,41.097,-3.59284,N-1,4,Congested,measured,108,91,47.9,71.1,2,2,4,277000,213394,71328,33.4,193900,2.7,307078,False
IBE_287,41.44173,-3.343,N-1,4,Congested,measured,108,91,47.9,71.1,2,2,4,277000,213394,71328,33.4,193900,2.7,307078,False
IBE_288,41.76514,-2.52393,N-1,4,Congested,unknown,108,91,47.9,71.1,2,2,4,277000,213394,71328,33.4,193900,2.7,307078,False
IBE_289,42.10998,-2.63343,N-1,4,Moderate,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_290,42.41634,-2.64562,N-1,4,Moderate,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_291,42.56195,-2.83863,N-1,4,Moderate,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_292,42.90713,-2.64826,N-1,4,Moderate,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_293,43.25878,-2.38261,N-1,4,Sufficient,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_294,43.2836,-1.9126,N-1,4,Sufficient,measured,108,91,47.9,71.1,2,2,4,157000,213394,71328,33.4,109900,1.5,391078,False
IBE_295,41.02414,-3.95559,N-110,7,Moderate,measured,741,626,187.9,278.8,2,14,22,241000,373439,133554,35.8,168700,1.3,769327,False
IBE_296,41.07995,-3.59825,N-110,22,Congested,measured,741,626,59.8,88.7,2,14,22,781000,1173665,444684,37.9,546700,1.2,2576574,False
IBE_297,42.23577,-2.09102,N-111,9,Sufficient,measured,294,248,58.0,86.0,2,6,9,297000,480136,175038,36.5,207900,1.2,1021494,False
IBE_298,42.429229,-2.772549,N-120,5,Moderate,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_299,42.42723,-3.138733,N-120,5,Moderate,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_300,42.34284,-3.691385,N-120,5,Congested,measured,152,128,54.0,80.1,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_301,42.400627,-4.165083,N-120,5,Congested,measured,152,128,54.0,80.1,2,3,5,370000,266742,92070,34.5,259000,2.8,387661,False
IBE_302,42.446714,-4.640594,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_303,42.388894,-4.990675,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_304,42.439775,-5.35059,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_305,42.542715,-5.714174,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_306,42.557456,-6.043011,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,250000,266742,92070,34.5,175000,1.9,471661,False
IBE_307,42.601638,-6.497502,N-120,5,Congested,measured,152,128,54.0,80.1,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_308,42.553206,-6.564152,N-120,5,Congested,measured,152,128,54.0,80.1,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_309,42.945065,-7.418403,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_310,42.730454,-7.75951,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_311,42.210873,-8.2643,N-120,5,Sufficient,measured,152,128,54.0,80.1,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_312,42.94404,-1.26932,N-121,8,Congested,unknown,243,205,53.9,80.0,2,5,8,389000,426787,154296,36.2,272300,1.8,811411,False
IBE_313,42.89531,-1.55451,N-121,6,Moderate,measured,243,205,71.9,106.7,2,5,8,213000,320090,112812,35.2,149100,1.3,643244,False
IBE_314,43.13244,-1.65537,N-121,8,Sufficient,measured,243,205,53.9,80.0,2,5,8,269000,426787,154296,36.2,188300,1.2,895411,False
IBE_315,41.6031,-2.98844,N-122,5,Congested,unknown,153,129,54.3,80.6,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_316,41.59771,-3.3592,N-122,5,Congested,measured,153,129,54.3,80.6,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_317,41.61573,-3.91943,N-122,5,Congested,measured,153,129,54.3,80.6,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,False
IBE_318,41.59899,-4.49536,N-122,5,Sufficient,measured,153,129,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_319,41.51469,-4.94789,N-122,5,Sufficient,measured,153,129,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_320,41.56532,-5.52092,N-122,5,Sufficient,measured,153,129,54.3,80.6,2,3,5,250000,266742,92070,34.5,175000,1.9,471661,False
IBE_321,41.52484,-6.03105,N-122,5,Sufficient,measured,153,129,54.3,80.6,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,False
IBE_322,40.61228,-3.20792,N-2,7,Sufficient,measured,224,189,56.8,84.3,2,4,7,241000,373439,133554,35.8,168700,1.3,769327,False
IBE_323,40.89846,-2.75713,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_324,41.33219,-1.65317,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_325,41.34175,-1.22615,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_326,41.58605,-0.95342,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_327,41.64415,-0.63372,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,426000,373439,133554,35.8,298200,2.2,639827,False
IBE_328,41.51889,-0.27518,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_329,41.49097,0.3473,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_330,41.46955,0.88605,N-2,7,Congested,measured,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_331,41.29305,1.35911,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_332,41.44266,1.8506,N-2,7,Congested,unknown,224,189,56.8,84.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_333,40.64509,-1.316,N-211,14,Congested,unknown,462,390,58.6,86.9,2,9,14,557000,746878,278748,37.3,389900,1.4,1567909,False
IBE_334,42.46767,0.02039,N-230,11,Congested,unknown,373,315,60.2,89.3,2,7,11,538000,586832,216522,36.9,376600,1.7,1144160,False
IBE_335,42.46302,0.41698,N-230,11,Congested,unknown,373,315,60.2,89.3,2,7,11,538000,586832,216522,36.9,376600,1.7,1144160,False
IBE_336,40.602428,-0.051982,N-232,9,Congested,unknown,278,234,54.8,81.4,2,5,9,417000,480136,175038,36.5,291900,1.7,937494,False
IBE_337,40.862724,-0.143402,N-232,9,Congested,unknown,278,234,54.8,81.4,2,5,9,482000,480136,175038,36.5,337400,1.9,891994,False
IBE_338,41.062595,-0.474484,N-232,9,Congested,unknown,278,234,54.8,81.4,2,5,9,482000,480136,175038,36.5,337400,1.9,891994,False
IBE_339,41.383626,-0.464468,N-232,9,Congested,unknown,278,234,54.8,81.4,2,5,9,417000,480136,175038,36.5,291900,1.7,937494,False
IBE_340,41.543323,-0.692195,N-232,9,Congested,unknown,278,234,54.8,81.4,2,5,9,482000,480136,175038,36.5,337400,1.9,891994,False
